site,horizon,model,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
GN002,5.0,ABED,3.4175722837454168,4.5500478948952425,3.1432737400211006,3.9268477204174608
GN002,5.0,ECMWF,11.483366219349532,14.22004517508037,10.76944918504613,13.332810023056984
GN002,4.75,ABED,3.4123303869075685,4.539486493564147,3.151634054508036,3.930196855223965
GN002,4.75,ECMWF,11.513919596881392,14.244720900166055,10.769966359473758,13.334758958781375
GN002,4.5,ABED,3.401374670928099,4.522118364507524,3.160372132092322,3.9383190702788773
GN002,4.5,ECMWF,11.53996542757714,14.265214033721787,10.768929284309323,13.337545622292406
GN002,4.25,ABED,3.418560764817089,4.52874781401904,3.1307948045432568,3.918791807949723
GN002,4.25,ECMWF,11.560365634752955,14.279591974776006,10.771549066132211,13.344194041409663
GN002,4.0,ABED,3.4050054559266814,4.509619199863791,3.1270800793170928,3.912408922558911
GN002,4.0,ECMWF,11.583580201179721,14.298931114966965,10.776893290664496,13.352646444514201
GN002,3.75,ABED,3.3863014513970473,4.474677310461753,3.1278401160825218,3.9385396609022933
GN002,3.75,ECMWF,11.613957905040229,14.322304854830021,10.778932972203107,13.356483713251686
GN002,3.5,ABED,3.3718144036042883,4.444409814276654,3.100046508372887,3.9382950673472052
GN002,3.5,ECMWF,11.640904289857497,14.34071952152934,10.779910329010178,13.360217739209439
GN002,3.25,ABED,3.372948934935464,4.457355745910483,3.103281872232958,3.9697000093475436
GN002,3.25,ECMWF,11.665846692852764,14.35839176250848,10.77958327200922,13.365087132156217
GN002,3.0,ABED,3.375832670278949,4.447898162907218,3.107404404211381,3.988871497184166
GN002,3.0,ECMWF,11.682030877262699,14.367357210280659,10.783607855883917,13.374549536770411
GN002,2.75,ABED,3.347196516725395,4.431244458807661,3.100894106038172,4.008122110374989
GN002,2.75,ECMWF,11.688944932945265,14.36534890687835,10.794016614207669,13.39029528444818
GN002,2.5,ABED,3.361499309834067,4.42126247235763,3.041001421858608,3.9213093638596597
GN002,2.5,ECMWF,11.690929220496198,14.359301442575163,10.803404568343467,13.405134276606155
GN002,2.25,ABED,3.3362455899840207,4.325770604512999,2.9940825840197762,3.811219716243714
GN002,2.25,ECMWF,11.686220644167266,14.338864693314735,10.80529220315438,13.415154664394194
GN002,2.0,ABED,3.138606654739165,4.071778078805966,2.8809493399736747,3.682041323397626
GN002,2.0,ECMWF,11.68397383209036,14.320324675205631,10.805281317745077,13.421627467439267
GN002,1.75,ABED,3.002667167517918,3.8377890298942776,2.726746953970997,3.531417168329744
GN002,1.75,ECMWF,11.677636604870056,14.29984434880863,10.810406424862899,13.429551688802198
GN002,1.5,ABED,2.9124581708639328,3.7674394414655312,2.6424421873010164,3.43246556440854
GN002,1.5,ECMWF,11.678187400776162,14.282865427172213,10.817702095814042,13.43911130004507
GN002,1.25,ABED,2.6821359084188776,3.4682918539609555,2.5280054747294503,3.295770121562099
GN002,1.25,ECMWF,11.681053642218718,14.27271450278058,10.830652670698406,13.454956104947273
GN002,1.0,ABED,2.5198606191054527,3.255229551343342,2.411409445775106,3.1286435979300986
GN002,1.0,ECMWF,11.683761827494152,14.271322034444815,10.83430236455646,13.46064240517378
GN002,0.75,ABED,2.3895886423419754,3.1092969968410458,2.3471962023580812,3.0687937330462134
GN002,0.75,ECMWF,11.689694643872077,14.27291769386681,10.838992209450543,13.463783442230712
GN002,0.5,ABED,2.232453816847684,2.9208960580580294,2.2960108580779943,3.0325587599234667
GN002,0.5,ECMWF,11.706669761780445,14.285154075742614,10.846480773527112,13.471634308089945
GN002,0.25,ABED,1.9910117610771623,2.637680922607223,2.0499274768625146,2.7332339829487524
GN002,0.25,ECMWF,11.722758799882744,14.3016041920731,10.85233882109406,13.48153670291327
GN002,0.0,ABED,1.73781909738014,2.2873837776263675,1.804199261778493,2.387922349558788
GN002,0.0,ECMWF,11.741994788239488,14.320870199647905,10.855480989981434,13.487394467903345
JA002,7.75,ABED,2.8093569261225997,3.6522973898535644,1.2567922767283348,1.8019576291689827
JA002,7.75,ECMWF,11.272543005676535,14.104265540688564,5.498501799604173,6.900976570623638
JA002,7.5,ABED,2.80611503960559,3.647152312350031,1.2580815285866804,1.8010529277508756
JA002,7.5,ECMWF,11.272543005676535,14.104265540688564,5.498501799604173,6.900976570623638
JA002,7.25,ABED,2.8169129383793376,3.644924665027015,1.2594581179444413,1.7998617938761978
JA002,7.25,ECMWF,11.272543005676535,14.104265540688564,5.498501799604173,6.900976570623638
JA002,7.0,ABED,2.8302294902437377,3.6505679668476376,1.2614739474101728,1.8001197020367052
JA002,7.0,ECMWF,11.272543005676535,14.104265540688564,5.498501799604173,6.900976570623638
JA002,6.75,ABED,2.843361760132443,3.6610976168932363,1.2607094013054063,1.8026676154649075
JA002,6.75,ECMWF,11.27309879585081,14.107340097322785,5.482648672900627,6.876916372324491
